,primary_title,runtime_minutes,genres_x,release_date,production_budget,domestic_gross,worldwide_gross,total_profit,content_rating,directors,actors
0,Minions,91.0,"Adventure,Animation,Comedy","Jul 10, 2015",74000000,336045770,1160336173,1086336173,PG,"Pierre Coffin, Kyle Balda","Chris Renaud, Hiroyuki Sanada, Michael Beattie, David Rosenbaum, Alex Dowding, Jess Harnell, Laraine Newman, Paul Thornley, Bill Farmer, Bob Bergen, John Cygan, Danny Mann, Sherry Lynn, Nick Glennie-Smith, Sandra Bullock, Jon Hamm, Michael Keaton, Allison Janney, Steve Coogan, Jennifer Saunders, Geoffrey Rush, Steve Carell, Pierre Coffin, Katy Mixon"
1,Despicable Me 3,89.0,"Adventure,Animation,Comedy","Jun 30, 2017",75000000,264624300,1034727750,959727750,PG,"Kyle Balda, Pierre Coffin, Eric Guillon","Steve Carell, Kristen Wiig, Trey Parker, Miranda Cosgrove, Dana Gaier, Nev Scharrel, Steve Coogan, Jenny Slate, Julie Andrews, Russell Brand, Pierre Coffin, Michael Beattie, Andy Nyman"
2,Despicable Me 2,98.0,"Adventure,Animation,Comedy","Jul 3, 2013",76000000,368065385,975216835,899216835,PG,"Pierre Coffin, Chris Renaud","Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove, Russell Brand, Ken Jeong, Al Pacino, Steve Coogan, Elsie Fisher, Dana Gaier, Moises Arias, Nasim Pedrad, Kristen Schaal, Pierre Coffin, Chris Renaud, Nickolai Stoilov, Vanessa Bayer"
3,Jumanji: Welcome to the Jungle,119.0,"Action,Adventure,Comedy","Dec 20, 2017",90000000,404508916,964496193,874496193,PG-13,Jake Kasdan,"Dwayne Johnson, Jack Black, Kevin Hart, Karen Gillan, Nick Jonas, Bobby Cannavale, Ser'Darius Blain, Madison Iseman, Morgan Turner, Alex Wolff, Missi Pyle, Rhys Darby"
4,Zootopia,108.0,"Adventure,Animation,Comedy","Mar 4, 2016",150000000,341268248,1019429616,869429616,PG,"Byron Howard, Rich Moore, Jared Bush","J.K. Simmons, Kristen Bell, Octavia Spencer, Alan Tudyk, Katie Lowes, Raymond S. Persi, Shakira, Maurice LaMarche, Della Saba, Phil Johnston, Fuschia, Fuschia!, John DiMaggio, Gita Reddy, Jesse Corti, Tommy ""Tiny"" Lister, Josie Trinidad, Joshua Dallas, Leah Latham, Rich Moore, Kath Soucie, Peter Mansbridge, Byron Howard, Mark Rhino Smith, Jared Bush, John Lavelle, Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate, Nate Torrence, Bonnie Hunt, Don Lake, Tommy Chong"
5,Toy Story 3,103.0,"Adventure,Animation,Comedy","Jun 18, 2010",200000000,415004880,1068879522,868879522,G,Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty, Don Rickles, Michael Keaton, Wallace Shawn, John Ratzenberger, Estelle Harris, John Morris, Jodi Benson, Laurie Metcalf, Blake Clark, Teddy Newton, Bud Luckey, Beatrice Miller, Javier Fernández-Peña, Timothy Dalton, Lori Alan, Charlie Bright, Kristen Schaal, Jeff Garlin, Bonnie Hunt, John Cygan, Jeff Pidgeon, Whoopi Goldberg, Jack Angel, R. Lee Ermey, Jan Rabson, Richard Kind, Erik von Detten, Amber Kroner, Brianna Maiwand, Jack Willis"
6,Finding Dory,97.0,"Adventure,Animation,Comedy","Jun 17, 2016",200000000,486295561,1021215193,821215193,PG,"Andrew Stanton, Angus MacLane","Ed O'Neill, Dominic West, Andrew Stanton, Bennett Dammann, Bob Peterson, Torbin Xan Bullock, Bill Hader, Kate McKinnon, Sigourney Weaver, Alexander Gould, Katherine Ringgold, Lucia Geddes, John Ratzenberger, Angus MacLane, Willem Dafoe, Brad Garrett, Allison Janney, Austin Pendleton, Stephen Root, Vicki Lewis, Jérôme Ranft, Ellen DeGeneres, Albert Brooks, Diane Keaton, Kaitlin Olson, Hayden Rolence, Ty Burrell, Eugene Levy, Sloane Murray, Idris Elba"
7,The Secret Life of Pets,87.0,"Adventure,Animation,Comedy","Jul 8, 2016",75000000,368384330,886750534,811750534,PG,"Yarrow Cheney, Chris Renaud","Kevin Hart, Lake Bell, Michael Beattie, Kiely Renaud, Louis C.K., Ralf Richter, Eric Stonestreet, Jenny Slate, Ellie Kemper, Albert Brooks, Dana Carvey, Hannibal Buress, Bobby Moynihan, Chris Renaud, Steve Coogan, Sandra Echeverría, Jaime Camil"
8,Ice Age: Continental Drift,88.0,"Adventure,Animation,Comedy","Jul 13, 2012",95000000,161321843,879765137,784765137,PG,"Mike Thurmeier, Steve Martino","Ray Romano, John Leguizamo, Denis Leary, Queen Latifah, Seann William Scott, Josh Peck, Jennifer Lopez, Jeremy Renner, Wanda Sykes, Keke Palmer, Aziz Ansari, Drake, Heather Morris, Joy Behar, Nicki Minaj, Josh Gad, Alan Tudyk, Nick Frost, Kunal Nayyar, Alain Chabat, Christopher J. Campbell, Michael Dean Ester, Peter Dinklage, Karen Disher, Jason Fricchione, Ben Gleib, George Jacobs, James Palumbo, Simon Pegg, Alexandra Romano, Matthew Simmons, Eddie ""Piolin"" Sotelo, Patrick Stewart, Meghan Thurmeier, Chris Wedge, Rebel Wilson"
9,Deadpool,108.0,"Action,Adventure,Comedy","Feb 12, 2016",58000000,363070709,801025593,743025593,R,,"Stefan Kapicic, Jason Day"
