,tconst,primary_title,runtime_minutes,genres,release_date,production_budget,domestic_gross,worldwide_gross,total_profit
8,tt1323045,Frozen,93.0,"Adventure,Drama,Sport","Nov 22, 2013",150000000,400738009,1272469910,1122469910
20,tt6105098,The Lion King,,"Adventure,Animation,Drama","Jun 15, 1994",79300000,421785283,986214868,906914868
28,tt1727824,Bohemian Rhapsody,134.0,"Biography,Drama,Music","Nov 2, 2018",55000000,216303339,894985342,839985342
33,tt3040964,The Jungle Book,106.0,"Adventure,Drama,Family","Apr 15, 2016",175000000,364001123,962854547,787854547
42,tt2064820,Inside Out,,Drama,"Jun 19, 2015",175000000,356461711,854235992,679235992
49,tt1325004,The Twilight Saga: Eclipse,124.0,"Adventure,Drama,Fantasy","Jun 30, 2010",68000000,300531751,706102828,638102828
58,tt1454468,Gravity,91.0,"Drama,Sci-Fi,Thriller","Oct 4, 2013",110000000,274092705,693698673,583698673
65,tt3659388,The Martian,144.0,"Adventure,Drama,Sci-Fi","Oct 2, 2015",108000000,228433663,655271443,547271443
68,tt2103281,Dawn of the Planet of the Apes,130.0,"Action,Adventure,Drama","Jul 11, 2014",170000000,208545589,710644566,540644566
70,tt2322441,Fifty Shades of Grey,125.0,"Drama,Romance,Thriller","Feb 13, 2015",40000000,166167230,570998101,530998101
77,tt0816692,Interstellar,169.0,"Adventure,Drama,Sci-Fi","Nov 5, 2014",165000000,188017894,666379375,501379375
78,tt0454876,Life of Pi,127.0,"Adventure,Drama,Fantasy","Nov 21, 2012",120000000,124987022,620912003,500912003
82,tt2179136,American Sniper,133.0,"Action,Biography,Drama","Dec 25, 2014",58000000,350126372,547326372,489326372
84,tt1483010,Logan,94.0,"Comedy,Drama,Family","Mar 3, 2017",127000000,226277068,615461394,488461394
104,tt3783958,La La Land,128.0,"Comedy,Drama,Music","Dec 9, 2016",20000000,151101803,426351163,406351163
105,tt3375556,Iron Man,84.0,"Comedy,Drama,Family","May 2, 2008",186000000,318604126,585171547,399171547
113,tt8332280,The Bodyguard,99.0,Drama,"Nov 25, 1992",25000000,121945720,410899039,385899039
116,tt1318514,Rise of the Planet of the Apes,105.0,"Action,Drama,Sci-Fi","Aug 5, 2011",93000000,176760185,470986200,377986200
119,tt8358722,Brave,,Drama,"Jun 22, 2012",185000000,237282182,554606532,369606532
131,tt1853728,Django Unchained,165.0,"Drama,Western","Dec 25, 2012",100000000,162805434,449948323,349948323
132,tt5013056,Dunkirk,106.0,"Action,Drama,History","Jul 21, 2017",150000000,190068280,499837368,349837368
133,tt2126355,San Andreas,114.0,"Action,Adventure,Drama","May 29, 2015",110000000,155190832,456258539,346258539
135,tt6473952,Cast Away,90.0,"Adventure,Drama","Dec 22, 2000",85000000,233632142,427230516,342230516
137,tt3450958,War for the Planet of the Apes,140.0,"Action,Adventure,Drama","Jul 14, 2017",152000000,146880162,489592267,337592267
144,tt4465564,Fifty Shades Darker,118.0,"Drama,Romance","Feb 10, 2017",55000000,114434010,381398492,326398492
145,tt4418168,Ice Age,106.0,"Crime,Drama,Family","Mar 15, 2002",65000000,176387405,386116343,321116343
146,tt0947798,Black Swan,108.0,"Drama,Thriller","Dec 3, 2010",13000000,106954678,331266710,318266710
148,tt4477536,Fifty Shades Freed,105.0,"Drama,Romance,Thriller","Feb 9, 2018",55000000,100407760,371350619,316350619
