,primary_title,runtime_minutes,genres_x,release_date,production_budget,domestic_gross,worldwide_gross,total_profit,content_rating,directors,actors
0,Frozen,93.0,"Adventure,Drama,Sport","Nov 22, 2013",150000000,400738009,1272469910,1122469910,R,Adam Green,"Emma Bell, Shawn Ashmore, Kevin Zegers, Ed Ackerman, Rileah Vanderbilt, Kane Hodder, Adam Johnson, Christopher York, Peder Melhuse"
1,Frozen,93.0,"Adventure,Drama,Sport","Nov 22, 2013",150000000,400738009,1272469910,1122469910,PG,"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Josh Gad, Santino Fontana, Alan Tudyk, Chris Williams (IX), Ciarán Hinds, Maia Wilson, Edie McClurg, Robert Pine, Maurice LaMarche, Livvy Stubenrauch, Eva Bella, Spencer Lacey Ganus, Jesse Corti, Stephen J. Anderson, Jeffrey Marcus, Tucker Gilmore, Ava Acres, Annaleigh Ashford, Jenica Bergere, Paul Briggs, Woody Buck, Lewis Cleale, Terri Douglas, Jean Gilpin, Nicholas Guest, Nick Jameson, John Lavelle, Pat Lentz, Katie Lowes, Dara McGarry, Adam Overett, Courtney Peldon, Raymond S. Persi, Lynwood Robinson, Jadon Sand, Pepper Sweeney, Steve Apostolina, Kirk Baily, David Boat, Tyree Brown, June Christopher, Wendy Cutler, Eddie Frierson, Carter Sand, Jackie Gonneau, Bridget Hoffman, Daniel A. Kaz, Annie Lopez, Mona Marshall, Scott Menville, Paul Pape, Jennifer Perry, Jean-Michel Richaud, Katie Silverman, Fred Tatasciore, Robert Lopez, Kristen Anderson-Lopez"
2,The Lion King,,"Adventure,Animation,Drama","Jun 15, 1994",79300000,421785283,986214868,906914868,G,"Roger Allers, Rob Minkoff","Matthew Broderick, Jeremy Irons, James Earl Jones, Nathan Lane, Moira Kelly, Ernie Sabella, Whoopi Goldberg, Cheech Marin, Zoe Leader, Robert Guillaume, Rowan Atkinson, Jonathan Taylor Thomas, Niketa Calame, Madge Sinclair, Joseph Williams, Jason Weaver, David McCharen, Phil Proctor, Cathy Cavadini, Judi M. Durand"
3,The Lion King,,"Adventure,Animation,Drama","Jun 15, 1994",79300000,421785283,986214868,906914868,PG,,"Donald Glover, James Earl Jones, Billy Eichner, Seth Rogen, Chiwetel Ejiofor, Beyoncé Knowles, John Kani, John Oliver, JD McCrary, Shahadi Wright-Joseph, Keegan-Michael Key, Alfre Woodard, Eric André, Florence Kasumba, Amy Sedaris"
4,Bohemian Rhapsody,134.0,"Biography,Drama,Music","Nov 2, 2018",55000000,216303339,894985342,839985342,PG-13,Bryan Singer,"Rami Malek, Lucy Boynton, Gwilym Lee, Ben Hardy, Joseph Mazzello, Aidan Gillen, Tom Hollander, Allen Leech, Mike Myers"
5,The Jungle Book,106.0,"Adventure,Drama,Family","Apr 15, 2016",175000000,364001123,962854547,787854547,PG,Wolfgang Reitherman,"Bruce Reitherman, Louis Prima, Sterling Holloway, J. Pat O'Malley, Darleen Carr, Phil Harris, Sebastian Cabot, George Sanders"
6,The Jungle Book,106.0,"Adventure,Drama,Family","Apr 15, 2016",175000000,364001123,962854547,787854547,PG,Jon Favreau,"Neel Sethi, Neel Sethi, Max Favreau, Chloe Hechter, Asher Blinkoff, Knox Gagnon, Sasha Schreiber, Kai Schreiber, Jon Favreau, Sam Raimi, Russell Peters, Madeleine Favreau, Ritesh Rajan, Kendrick Reyes, Kendrick Reyes, Sara Arrington, Sean W. Johnson, Sean Johnson, Artie Esposito, Allan Trautman, Bill Murray, Ben Kingsley, Idris Elba, Lupita Nyong'o, Scarlett Johansson, Giancarlo Esposito, Christopher Walken, Garry Shandling, Brighton Rose, Emjay Anthony"
7,Inside Out,,Drama,"Jun 19, 2015",175000000,356461711,854235992,679235992,PG,"Pete Docter, Ronnie del Carmen","Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader, Lewis Black, Mindy Kaling, Kaitlyn Dias, Diane Lane, Kyle MacLachlan, Paula Poundstone, Bobby Moynihan, Paula Pell, Dave Goelz, Frank Oz, Josh Cooley, Flea, John Ratzenberger, Carlos Alazraqui, Peter Sagal, Rashida Jones"
8,Inside Out,,Drama,"Jun 19, 2015",175000000,356461711,854235992,679235992,PG-13,Brian Stewart,"Victor Liu, Joe Estevez, San Banarje"
9,The Twilight Saga: Eclipse,124.0,"Adventure,Drama,Fantasy","Jun 30, 2010",68000000,300531751,706102828,638102828,PG-13,David Slade,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Billy Burke, Bryce Dallas Howard, Dakota Fanning, Peter Facinelli, Elizabeth Reaser, Jackson Rathbone, Kellan Lutz, Ashley Greene, Nikki Reed, Catalina Sandino Moreno, Anna Kendrick, Michael Welch, Justin Chon, Christian Serratos, Gil Birmingham, Xavier Samuel, Sarah Clarke, Paul Jarrett, Iris Quinn, Kiowa Gordon, Tyson Houseman, Bronson Pelletier, Alex Meraz, Julia Jones, Tinsel Korey, Chaske Spencer, Alex Rice, Boo Boo Stewart, Daniel Cudmore, Cameron Bright, Jodelle Ferland, Jack Huston, Ben Geldreich, Charlie Bewley, Leah Gibson, Kirsten Prout, Peter Murphy, William Belleau, Justin Rain, Monique Ganderton, Byron Chief-Moon, Mariel Belanger, Dawn Chubai, Cainan Wiebe"
