tconst,primary_title,runtime_minutes,genres,release_date,production_budget,domestic_gross,worldwide_gross,total_profit
tt1396484,It,135.0,"Horror,Thriller","Sep 8, 2017",35000000,327481748,697457969,662457969
tt7002100,Coco,98.0,Horror,"Nov 22, 2017",175000000,209726015,798008101,623008101
tt2175671,Ghost,118.0,Horror,"Jul 13, 1990",22000000,217631306,517600000,495600000
tt3300078,The Revenant,80.0,Horror,"Dec 25, 2015",135000000,183637894,532938302,397938302
tt4779682,The Meg,113.0,"Action,Horror,Sci-Fi","Aug 10, 2018",178000000,145443742,529530715,351530715
tt0816711,World War Z,116.0,"Action,Adventure,Horror","Jun 21, 2013",190000000,202359711,531514650,341514650
tt1457767,The Conjuring,112.0,"Horror,Mystery,Thriller","Jul 19, 2013",20000000,137400141,318000141,298000141
tt5140878,Annabelle: Creation,109.0,"Horror,Mystery,Thriller","Aug 11, 2017",15000000,102092201,305384865,290384865
tt2592614,Resident Evil: The Final Chapter,107.0,"Action,Horror,Sci-Fi","Jan 27, 2017",40000000,26844692,314101190,274101190
tt5052448,Get Out,104.0,"Horror,Mystery,Thriller","Feb 24, 2017",5000000,176040665,255367951,250367951
tt3322940,Annabelle,99.0,"Horror,Mystery,Thriller","Oct 3, 2014",6500000,84273813,256862920,250362920
tt1502407,Halloween,106.0,"Horror,Thriller","Oct 19, 2018",10000000,159342015,254900667,244900667
tt1220634,Resident Evil: Afterlife,96.0,"Action,Adventure,Horror","Sep 10, 2010",57500000,60128566,295874190,238374190
tt5144236,Glass,77.0,"Crime,Horror,Mystery","Jan 18, 2019",20000000,111035005,245303505,225303505
tt1778304,Paranormal Activity 3,83.0,"Horror,Mystery,Thriller","Oct 21, 2011",5000000,104028807,207039844,202039844
tt1855325,Resident Evil: Retribution,95.0,"Action,Horror,Sci-Fi","Sep 14, 2012",65000000,42345531,240647629,175647629
tt1536044,Paranormal Activity 2,91.0,Horror,"Oct 20, 2010",3000000,84752907,177512032,174512032
tt1428538,Hansel & Gretel: Witch Hunters,88.0,"Action,Fantasy,Horror","Jan 25, 2013",50000000,55703475,214949716,164949716
tt5726086,Insidious: The Last Key,103.0,"Horror,Mystery,Thriller","Jan 5, 2018",10000000,67745330,167885588,157885588
tt1596723,Click,127.0,"Drama,Horror,Mystery","Jun 23, 2006",82500000,137355633,237685089,155185089
tt9149142,Inferno,58.0,Horror,"Oct 28, 2016",75000000,34343574,219519367,144519367
tt6840314,City of Angels,,"Action,Drama,Horror","Apr 10, 1998",55000000,78750909,198750909,143750909
tt2316204,Alien: Covenant,122.0,"Horror,Sci-Fi,Thriller","May 19, 2017",97000000,74262031,238521247,141521247
tt2109184,Paranormal Activity 4,88.0,"Horror,Mystery,Thriller","Oct 19, 2012",5000000,53900335,142817992,137817992
tt5097012,21,98.0,Horror,"Mar 28, 2008",35000000,81159365,159846429,124846429
tt6133466,The First Purge,98.0,"Action,Horror,Sci-Fi","Jul 4, 2018",13000000,69488745,136617305,123617305
tt5308322,Happy Death Day,96.0,"Horror,Mystery,Thriller","Oct 13, 2017",5000000,55683845,125010260,120010260
tt1622979,Final Destination 5,92.0,Horror,"Aug 12, 2011",40000000,42587643,155011165,115011165
tt1596365,The Woman in Black,95.0,"Drama,Fantasy,Horror","Feb 3, 2012",15000000,54333290,128955898,113955898
tt1029360,Poltergeist,93.0,"Horror,Thriller","Jun 4, 1982",10700000,74706019,121706019,111006019
tt4094724,The Purge: Election Year,108.0,"Action,Horror,Sci-Fi","Jul 1, 2016",10000000,79042440,118514727,108514727
tt4052882,The Shallows,86.0,"Drama,Horror,Thriller","Jun 24, 2016",13000000,55121623,118763442,105763442
tt3233610,Road Trip,90.0,Horror,"May 19, 2000",16000000,68525609,119739110,103739110
tt1179933,10 Cloverfield Lane,103.0,"Drama,Horror,Mystery","Mar 11, 2016",5000000,72082999,108286422,103286422
tt2975578,The Purge: Anarchy,103.0,"Action,Horror,Sci-Fi","Jul 18, 2014",9000000,71562550,111534881,102534881
tt1560985,The Devil Inside,83.0,Horror,"Jan 6, 2012",1000000,53262945,101759490,100759490
tt1591095,Insidious,103.0,"Horror,Mystery,Thriller","Apr 1, 2011",1500000,54009150,99870886,98370886
tt1204977,Ouija,89.0,"Horror,Mystery,Thriller","Oct 24, 2014",5000000,50856010,103300632,98300632
tt3348730,Jigsaw,92.0,"Crime,Horror,Mystery","Oct 27, 2017",10000000,38052832,102445196,92445196
tt0837563,Pet Sematary,101.0,"Horror,Mystery,Thriller","Apr 5, 2019",21000000,54724696,109501146,88501146
tt2184339,The Purge,85.0,"Horror,Thriller","Jun 7, 2013",3000000,64473115,91266581,88266581
tt1077368,Dark Shadows,113.0,"Comedy,Fantasy,Horror","May 11, 2012",150000000,79727149,238202668,88202668
tt2473682,Paranormal Activity: The Marked Ones,84.0,"Horror,Mystery,Thriller","Jan 3, 2014",5000000,32462372,90904854,85904854
tt1588173,Warm Bodies,98.0,"Comedy,Horror,Romance","Feb 1, 2013",30000000,66380662,115121608,85121608
tt1922777,Sinister,110.0,"Horror,Mystery,Thriller","Oct 12, 2012",3000000,48086903,87727807,84727807
tt1179056,A Nightmare on Elm Street,95.0,"Crime,Drama,Horror","Apr 30, 2010",35000000,63075011,117729621,82729621
tt1288558,Evil Dead,91.0,"Fantasy,Horror,Thriller","Apr 5, 2013",17000000,54239856,97778356,80778356
tt1254978,Daylight,75.0,"Crime,Horror,Thriller","Dec 6, 1996",80000000,32908290,158908290,78908290
tt2529924,The Strangers,,"Action,Drama,Horror","May 30, 2008",9000000,52597610,83051676,74051676
tt4361050,Ouija: Origin of Evil,99.0,"Drama,Horror,Mystery","Oct 21, 2016",9000000,35144505,81831866,72831866
tt4828330,Red Eye,73.0,Horror,"Aug 19, 2005",26000000,57891803,96666486,70666486
tt1611224,Abraham Lincoln: Vampire Hunter,105.0,"Action,Fantasy,Horror","Jun 22, 2012",67500000,37519139,137489730,69989730
tt0431021,The Possession,92.0,"Horror,Mystery,Thriller","Aug 31, 2012",14000000,49130588,82925064,68925064
tt1320244,The Last Exorcism,87.0,"Drama,Horror,Thriller","Aug 27, 2010",1800000,41034350,70165900,68365900
tt2473510,Paranormal Activity: The Ghost Dimension,88.0,"Horror,Mystery,Thriller","Oct 23, 2015",10000000,18297124,77959374,67959374
tt2145909,The Forgotten,89.0,Horror,"Sep 24, 2004",50000000,66711892,117211892,67211892
tt2286560,Frankenstein,82.0,"Drama,Horror","Nov 4, 1994",45000000,22006296,112006296,67006296
tt7906260,Tooth Fairy,86.0,Horror,"Jan 22, 2010",48000000,60022256,112610386,64610386
tt5934182,Moonlight,87.0,Horror,"Oct 21, 2016",1500000,27854931,65245512,63745512
tt3713166,Unfriended,83.0,"Horror,Mystery,Thriller","Apr 17, 2015",1000000,32789645,64364198,63364198
tt5354458,Conspiracy Theory,79.0,"Horror,Thriller","Aug 8, 1997",80000000,76118990,142783718,62783718
tt10423074,The Unborn,,Horror,"Jan 9, 2009",16000000,42670410,78208812,62208812
tt1161864,The Rite,114.0,"Drama,Horror,Mystery","Jan 28, 2011",37000000,33047633,97143987,60143987
tt7784604,Hereditary,127.0,"Drama,Horror,Mystery","Jun 8, 2018",10000000,44069456,70133905,60133905
tt0464154,Piranha 3D,88.0,"Comedy,Horror","Aug 20, 2010",24000000,25003155,83660160,59660160
tt5844050,Urban Legend,,Horror,"Sep 25, 1998",14000000,38116707,72571864,58571864
tt2443822,The Boy,105.0,"Drama,Horror,Thriller","Jan 22, 2016",10000000,35819556,68220952,58220952
tt2377322,Deliver Us from Evil,118.0,"Horror,Mystery,Thriller","Jul 2, 2014",30000000,30577122,87956618,57956618
tt0498381,Rings,102.0,"Drama,Horror,Mystery","Feb 3, 2017",25000000,27793018,82917283,57917283
tt1262416,Scream 4,111.0,"Horror,Mystery","Apr 15, 2011",40000000,38180928,95989590,55989590
tt8155288,Happy Death Day 2U,100.0,"Drama,Horror,Mystery","Feb 13, 2019",9000000,28051045,64179495,55179495
tt1939659,Carrie,100.0,"Drama,Horror","Oct 18, 2013",30000000,35266619,82409520,52409520
tt1486185,Red Riding Hood,100.0,"Fantasy,Horror,Mystery","Mar 11, 2011",42000000,37662162,91678442,49678442
tt3181822,The Boy Next Door,91.0,"Horror,Thriller","Jan 23, 2015",4000000,36006065,53401938,49401938
tt3850590,Krampus,98.0,"Comedy,Fantasy,Horror","Dec 4, 2015",15000000,42725475,61788393,46788393
tt2752772,Sinister 2,97.0,"Horror,Mystery,Thriller","Aug 21, 2015",10000000,27740955,54104225,44104225
tt3862750,The Perfect Guy,100.0,"Crime,Drama,Horror","Sep 11, 2015",18000000,57027435,60278166,42278166
tt5690360,Slender Man,93.0,"Horror,Mystery,Thriller","Aug 10, 2018",10000000,30564825,51723644,41723644
tt1038686,Legion,100.0,"Action,Fantasy,Horror","Jan 22, 2010",26000000,40168080,67647574,41647574
tt2309260,The Gallows,81.0,"Horror,Mystery,Thriller","Jul 10, 2015",100000,22764410,41656474,41556474
tt1991245,Chernobyl Diaries,86.0,"Horror,Mystery,Thriller","May 25, 2012",1000000,18119640,42411721,41411721
tt1259521,The Cabin in the Woods,95.0,Horror,"Apr 13, 2012",30000000,42073277,70689968,40689968
tt5782160,Shutter,106.0,"Horror,Thriller","Mar 21, 2008",8000000,25928550,47782426,39782426
tt2388715,Oculus,104.0,"Horror,Mystery","Apr 11, 2014",5000000,27695246,44115496,39115496
tt0455407,The Crazies,101.0,"Horror,Thriller","Feb 26, 2010",19000000,39123589,56445534,37445534
tt1582507,House at the End of the Street,101.0,"Drama,Horror,Thriller","Sep 21, 2012",6900000,31611916,44103982,37203982
tt8802728,The Witch,,Horror,"Feb 19, 2016",3500000,25138705,40454520,36954520
tt5734576,The Possession of Hannah Grace,86.0,"Horror,Mystery,Thriller","Nov 30, 2018",6000000,14836174,42785387,36785387
tt2039338,Flatliners,109.0,"Drama,Horror,Mystery","Aug 10, 1990",26000000,61308153,61308153,35308153
tt8663516,Child's Play,120.0,Horror,"Nov 9, 1988",9000000,33244684,44196684,35196684
tt2918436,The Lazarus Effect,83.0,"Horror,Mystery,Sci-Fi","Feb 27, 2015",5000000,25801570,38359310,33359310
tt1488602,The Forest,98.0,"Horror,Thriller","Jan 8, 2016",10000000,26594261,40749230,30749230
tt3393372,Night of the Living Dead,79.0,Horror,"Oct 1, 1968",114000,12087064,30087064,29973064
tt2752758,Devil's Due,89.0,"Horror,Mystery,Thriller","Jan 17, 2014",7000000,15821461,36146087,29146087
tt7981492,Sabrina,113.0,"Horror,Thriller","Dec 15, 1995",58000000,53458319,87100000,29100000
tt1540011,Blair Witch,89.0,"Horror,Mystery,Thriller","Sep 16, 2016",10000000,20777061,38985577,28985577
tt3832096,Cabin Fever,99.0,Horror,"Sep 12, 2003",1500000,21158188,30351664,28851664
tt1093357,The Darkest Hour,89.0,"Action,Adventure,Horror","Dec 25, 2011",34800000,21443494,62831715,28031715
tt1773741,The Intruder,106.0,Horror,"May 3, 2019",8000000,35095904,36005871,28005871
tt1572315,Texas Chainsaw 3D,92.0,"Horror,Thriller","Jan 4, 2013",20000000,34341945,47666013,27666013
tt1853739,You're Next,95.0,"Action,Comedy,Horror","Aug 23, 2013",1000000,18494006,26887177,25887177
tt1285009,The Strangers: Prey at Night,85.0,Horror,"Mar 9, 2018",5000000,24431472,29960051,24960051
tt2387433,Dark Skies,97.0,"Horror,Sci-Fi,Thriller","Feb 22, 2013",3500000,17418667,27704111,24204111
tt4030600,The Bye Bye Man,96.0,"Drama,Fantasy,Horror","Jan 13, 2017",7400000,22395806,31187727,23787727
tt1691149,Saving Grace,85.0,"Crime,Drama,Horror","Aug 4, 2000",4000000,12178602,27786849,23786849
tt10339624,The One,,Horror,"Nov 2, 2001",49000000,43905746,72689126,23689126
tt7064690,Halloween II,,Horror,"Oct 30, 1981",2500000,25533818,25533818,23033818
tt4203258,The Reaping,84.0,"Comedy,Horror,Thriller","Apr 5, 2007",40000000,25126214,62226214,22226214
tt1772240,Apollo 18,86.0,"Horror,Mystery,Sci-Fi","Sep 2, 2011",5000000,17686929,26517819,21517819
tt2034139,The Last Exorcism Part II,88.0,"Drama,Horror,Thriller","Mar 1, 2013",4000000,15179303,25448707,21448707
tt3235888,It Follows,100.0,"Horror,Mystery","Mar 13, 2015",2000000,14674077,23250755,21250755
tt1389139,When the Bough Breaks,107.0,"Crime,Drama,Horror","Sep 9, 2016",10000000,29747603,30768449,20768449
tt2554274,Crimson Peak,119.0,"Drama,Fantasy,Horror","Oct 16, 2015",55000000,31090320,74966854,19966854
tt8008626,Love Happens,,"Comedy,Horror,Romance","Sep 18, 2009",18000000,22965110,36133014,18133014
tt5694044,The Howling,83.0,Horror,"Apr 10, 1981",1000000,17985000,17985000,16985000
tt1433183,Sleeper,86.0,"Action,Horror","Dec 17, 1973",2000000,18344729,18344729,16344729
tt1331294,The Apostle,80.0,"Animation,Horror","Dec 17, 1997",5000000,20733485,21277770,16277770
tt1538403,The Mortal Instruments: City of Bones,130.0,"Action,Fantasy,Horror","Aug 21, 2013",60000000,31165421,75965567,15965567
tt9087212,Little Voice,,"Horror,Thriller","Dec 4, 1998",6000000,4595000,21787233,15787233
tt4761916,Unfriended: Dark Web,92.0,"Crime,Horror,Mystery","Jul 20, 2018",1000000,8866745,16434588,15434588
tt4695012,It Comes at Night,91.0,"Horror,Mystery","Jun 9, 2017",5000000,13985117,19720203,14720203
tt1767382,Silent House,86.0,"Drama,Horror,Mystery","Mar 9, 2012",2000000,12739737,16610760,14610760
tt1270761,Don't Be Afraid of the Dark,99.0,"Fantasy,Horror,Thriller","Aug 26, 2011",25000000,24046682,39126427,14126427
tt9603698,Kidnap,50.0,"Horror,Thriller","Aug 4, 2017",21000000,30718107,34836080,13836080
tt4504044,The Prodigy,92.0,"Horror,Thriller","Feb 8, 2019",6000000,14856291,19789712,13789712
tt7153766,Unsane,98.0,"Drama,Horror,Mystery","Mar 23, 2018",1500000,7690044,14244931,12744931
tt1999890,Hell Fest,89.0,Horror,"Sep 28, 2018",5500000,11107431,18119231,12619231
tt1298649,The Watch,102.0,"Action,Comedy,Horror","Jul 27, 2012",55000000,34353000,67130045,12130045
tt2403021,The Green Inferno,100.0,"Adventure,Horror","Sep 25, 2015",1000000,7192291,12931420,11931420
tt5322012,Wish Upon,90.0,"Drama,Fantasy,Horror","Jul 14, 2017",12000000,14301505,23477345,11477345
tt1438176,Fright Night,106.0,"Comedy,Horror","Aug 19, 2011",30000000,18298649,40520649,10520649
tt2069843,Maniac,160.0,"Action,Horror,Thriller","Jan 1, 1980",350000,10000000,10000000,9650000
tt1418377,"I, Frankenstein",92.0,"Action,Fantasy,Horror","Jan 24, 2014",65000000,19075290,74575290,9575290
tt9064764,Water,,Horror,"Apr 28, 2006",3000000,5529144,11322573,8322573
tt7122852,Let Me In,74.0,Horror,"Oct 1, 2010",20000000,12134935,28270399,8270399
tt4191580,Meet the Blacks,94.0,"Comedy,Horror","Apr 1, 2016",900000,9097072,9097072,8197072
tt1082807,The Belko Experiment,89.0,"Horror,Thriller","Mar 17, 2017",5000000,10166820,11792942,6792942
tt1111235,Trance,83.0,Horror,"Apr 5, 2013",16000000,2322593,22594052,6594052
tt1498568,Red River,77.0,Horror,"Aug 26, 1948",3000000,9012000,9012000,6012000
tt4080386,Sardaar Ji,141.0,"Comedy,Fantasy,Horror","Dec 31, 2015",2700000,0,8200000,5500000
tt2321549,The Babadook,94.0,"Drama,Horror","Nov 28, 2014",2000000,950792,7482387,5482387
tt1320291,The Reef,94.0,"Adventure,Drama,Horror","Dec 31, 2010",10000000,0,15037867,5037867
tt3216348,Incarnate,91.0,"Horror,Thriller","Dec 2, 2016",5000000,4799774,9371036,4371036
tt6096414,Knock Knock,55.0,Horror,"Oct 9, 2015",2000000,36336,6328516,4328516
tt7611352,Alive,91.0,"Horror,Thriller","Jan 15, 1993",32000000,36299670,36299670,4299670
tt10343876,Next,7.0,Horror,"Apr 27, 2007",70000000,18211013,73591500,3591500
tt1327709,Cyrus,87.0,"Crime,Horror,Mystery","Jun 18, 2010",7000000,7468936,10062896,3062896
tt1373405,The Awakening,83.0,"Horror,Thriller","Aug 17, 2012",4900000,95933,6924321,2024321
tt1524575,The Vatican Tapes,91.0,"Horror,Thriller","Jul 24, 2015",13000000,1784763,14929184,1929184
tt5124556,The Forsaken,86.0,"Drama,Horror,Thriller","Apr 27, 2001",5000000,6755271,6755271,1755271
tt4859526,Friend Request,106.0,Horror,"Sep 22, 2017",9900000,3759078,11310835,1410835
